ADDRESS,PROPERTY MANAGEMENT COMPANY,NOTES,BARCODE #,Price/month,Area,start up date,"STATUS- (ACTIVE, CANCELLED, ON HOLD)",KEYS,TEST DAY,ANNUAL,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,
55 Bay Street,First Service Residential,PO #1455612,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,,May,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
707 Esquimalt Road,First Service Residential,,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,,June,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
45 Gorge Road,Devon Properties Ltd.,,,$65.00,"Victoria, BC",Dec-25,ACTIVE,GG54,W2-R22,January,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
640 Dallas Road,Starlight Properties c/o Devon Properties Ltd.,,,$65.00,"Victoria, BC",Dec-25,ACTIVE,LD 46,M1-R2,October,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
612 Constance Avenue,Devon Properties Ltd.,,,$75.00,"Victoria, BC",Dec-25,ACTIVE,CT 216,W1-R7,March,-,-,-,-,-,-,-,-,-,-,-,X,,,,,
1080 Cypress Road,Storyoga Inc.,,,$75.00,"North Saanich, BC",Dec-25,ACTIVE,CP 801,F1-R10,October,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
820 Craigflower Road,Starlight Properties c/o Devon Properties Ltd.,,,$65.00,"Esquimalt, BC",Dec-25,ACTIVE,FW 28,W2-R22,May,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
844 Fisgard Road,North Park Manor Society,,,$75.00,"Victoria, BC",Dec-25,ACTIVE,KP 578,M1-R3,September,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
